id,description
48488,Get Flat 25% discount on Apple Cider Vinegar
48489,Product Of The Day - Up To 67% OFF + Extra 10% OFF on Garcinia Cambogia Products
48490,Get 25% Discount on Whey Protein Products
48491,Rs.500 off on Intex Aqua 4G
48492,Get Flat Rs.500 OFF on Panasonic P55 NOVO
48493,Rs.500 OFF on Micromax Canvas Nitro 2 E311
48494,Get Flat Rs.350 Discount on Reach Allure mobile
48495,Super Combo â€“ Pack of 2 Stylish Sarees By Alveera just Rs.1299
48496,Get Flat Rs.300 Off on Lenovo A1000
48497,Get Flat 10% discount on All Products
48498,High Voltage Sale - Up to 75% off on all products
48499,Parents Day Offer - Upto 83% off on products listed at landing page
48500,"Flat 10% Off on Men's Apparel, Women's Apparel, Fashion Accessories and More"
48501,"Upto 70% Off + Extra 10% Off on Women Apparels, Accesories and More"
48502,Get Flat 50% Discount on Boohoo Zig-Zag Lurex Side-Split Midi Skirt
48503,Flat 50% Off on Styx & Stones Denim Shirt With Spray Effect
48504,"Flat 60% off on Lemon Tree Hotel (Max. once per user. Not on payments made directly at hotel, through PayPal account, Cash on Delivery (COD))"
48505,Get Up To Rs.170 discount on Bus Ticket Bookings
48506,Get 25% Off on All Teas on FRIDAY'S only
48507,Kabali Mania Begins! - Get 30% Off on PVR & INOX vouchers in Bengaluru
48508,Avail 20% Cashback on Bus Booking (On Min. Booking of Rs.300. Max. once per user)
48509,Sultan Family Weekend - Get 100% cash-back on Booking 4 of Movie tickets and cashback on 2 Tickets (Maximum cashback allowed is Rs.300)
48510,Coffee Tables Starts for just Rs.4959
48511,Mintwud Furniture Starting at Rs.799 only
48512,Carpet Offer Starts @ Rs.2231
48513,Today's Special Offers - Rs.250 Discount on all products (For The First 300 Customers only.(On purchase of min. Rs.1000)
48514,Avail 50% Off on purchase of 1 medium pizza and 50% discount on 2nd Pizza (Pizza Should Be medium sized signature/supreme pan pizza)
48515,Any 2 Medium/Personal Pan Pizza Rs.199 only
48516,20% Discount on Tasties Pizza (On order-value of minimum Rs.399. Not on Oveload Big Pizza and Meal Deal)
48517,Flat 12% off on Personalized Pen Drives
48518,Corporate Letterheads Starting for Rs.4
48519,VICTORIA'S SECRET PRODUCTS Starts @ Rs.625
48520,20% Off on Buy any 3 Products
48521,Get Flat 15% Off on PLUM Body and Skincare Products
48522,Avail Extra 15% OFF on products listed at landing page (Max. Rs.450 discount is allowed)
48523,Free shipping To USA and Other Countries on Raksha Bandhan Gifts
48524,Get Rs.600 off on All Products
48525,Get Flat Rs.200 Off on Min. Purchase of Rs.999
48526,Kult 10 Mobile Phone at Rs.6999 only
48527,Upto 80% discount on Classic Watches
48528,Get Flat 60% off on Men's Watches
48529,Auto Monsoon Store - Car And Bike Accessories Starting at Rs.45 only
48530,Storage Deivce Starts @ Rs.155 only
48531,Q Reach Cogent Smartphone for Rs.2999 only
48532,Fitness Accessories Maximum Rs.499
48533,"Maha Electronics Sale - Avail Up To 85% Discount + Additional 5% Discount on Mobiles, TV's, Computers and More (On Payment via HDFC Credit Cards only)"
48534,Get Extra 5% Off on Laat Saab Wala Fashion (Also get 10% Off on Musafir.com flights. 5% Off on Payment via HDFC Credit Cards only)
48535,Get Up to 85% Off on Fostelo Little Hearts Maroon Handbag
48536,Up To 89% Discount on Rosra Silver Metal Analog Wrist Watch For Men
48537,Upto 94% OFF on LOTTO Mens Analog Wrist Watch
48538,Get Up To 87% Discount on  Set of 10 Multicolor Lycra Leggings
48539,Intex Cloud Fame 4G just for Rs.3999
48540,Kenxinda R7 Mobile just for Rs.4299
48541,Avail Flat 26% Discount on Lenovo Vibe K5 Plus Mobile
48542,LAAT SAAB FASHION Max. price of Rs.499
48543,Flat 50% off + Additional 20% off on Trending Styles Products
48544,Get Flat 14% off on shopping of minimum Rs.1800 (For Yes Bank Bank users only. Max. discount of Rs.2500)
48545,Flat 60% Off on Women Westernwear
48546,Intex Cloud Breeze at Rs.3777 only
48547,2016 Fashion Sale - Upto 70% Discount on Handbags And Clutches
48548,Samsung Galaxy J3 (8GB) at just Rs.8490
48549,"Get Upto 80% discount on Sport, Fitness and Outdoor Gear"
48550,"Cool Offer on DSLRs, Digital Cameras, Camera Lenses, Batteries & Chargers and More"
48551,"Get Flat 60% discount on Earrings, Necklace and More"
48552,Women's Apparels And Accessories Maximum Rs.699
48553,Get Flat 38% discount on Tops & Tees By Campus Sutra
48554,Travel Contest Chance To Win Coupon Worth Rs.1000 (Daily 3 Winner)
48555,Get Up To 50% Off on Van Heusen Men's and Women's Apparel
48556,RAKHI COLLECTION ONLINE Starts at just Rs.99
48557,10% discount on Europe Destination
48558,Bras Offer Starting @ Rs.165 only
48559,Get Flat Rs.250 off on shopping of minimum Rs.1399
48560,Flat 50% Discount on Chimney Product 
48561,Upto 30% Discount on Sanitary Ware 
48562,Flat 10% Discount on All Types of Furnishing 
48563,10% to 50% off on All Types of Furnishing & Mattresses 
48564,Upto 50% OFF on Electrical Switches
48565,Upto 10% to 25% Discount on All Types of Door Locks only
48566,Flat 10%  Discount on All Types of Door Locks 
48567,Minimum Order of Rs 500-/ & Get Gulab Jamun Free 
48568,Minimum Order of Rs.1000/ & Above & Get 10% Discount on Food( Parcel Only)
48569,Upto 10% Discount on All Types of Plastic Chairs 
48570,Flat 10% Discount on All Types of Luggage Bags
48571,Flat 10% Discount on All Types of Headphones
48572,Minimum order of Rs 1000- & above & Get 10% Discount Valid Only for takeaway order only
48573,Flat 10% Discount on Food Order (Takeaway Order only)
48574,Get 5% Discount on Min. Food Orders of 10 Kg from any Restaurant
48575,Upto 50% OFF on Home Appliances 
48576,Yearly Package Inclusive GYM+CARDIO for just Rs.9000
48577,Upto 20% Discounts on All Types of Furnishing & Mattresses
48578,Flat 20% Discount on Eyewear
48579,Flat 40% Discount on All Types of Men's Wear 
48580,Get 10% Off on Minimum Food Order of Rs.1000 & above (Takeaway & Parcel)
48581,Minimum Order of Rs 500/- & Get 500ml Cold Drink Free 
48582,Get 10% Discount on Min. Food(Biryani) Orders of 5Kg 
48583,Upto 15% OFF on Men's & Women's Wear
48584,Flat 10% Discounts on All Types of Opticians only
48585,Flat 10% Discounts on Eyewear
48586,Flat 25% Discount on Eyewear
48587,Flat 10% Discounts on Furnishing & Mattresses
48588,Minimum Order of Rs 700/- & Get 500ml Cold Drink Free 
48589,Flat 15% Discounts on all types of Door Locks 
48590,Flat 10% Discounts on Eyewear
48591,Get 500 ml Cold Drink Free on Min. Food order of Rs.500 & above
48592,Upto 25% OFF on all types of  Door Locks 
48593,Only Pay for Pedicure & Hair Spa and get Hair Cut Free
48594,Flat 20% Discounts on Car Seat Cover 
48595,Flat 15% Discount on Bike Battery & 5% Discount on Car Battery
48596,Get 10% Off on Minimum Food Order of Rs.1000 & above 
48597,Get Rs.200 discount on Order Of Rs.1995
48598,Get Flat Rs.100 off on Order Of Rs.1295
48599,Get Rs.300 off on Order Of Rs.2995
48600,Avail Flat Rs.400 discount on Order Of Rs.3995
48601,Buy 2 Get 2 Free on All Brand Products
48602,Amazon Prime - Now In India (Fastest Delivery) on all products (Unlimited Free one-Day And Two-Day Delivery)
48603,Any Denim Jeans for Rs.1499 only
48604,Buy One And Get One Free on Men's  Shirts
48605,Friendship Day - Get Rs.100 Discount on all products (On minimum shopping of Rs.699)
48606,Get Flat Rs.100 OFF on Friendship Day Gifts
48607,Friendship Day Offer - Flat 15% OFF on Gifts (On min. purchase of Rs.899)
48608,Get 15% OFF on Friendship Day Gifts
48609,Avail Flat 68% discount on Deemarks 5 In 1 BeautyMassager
48610,E-Gift Cards Starting for Rs.500 only
48611,Avail Flat 20% OFF on PNB 3.5 L Inner Lid Aluminium Pressure Cooker
48612,Flat 70% Discount on Set Of 4 Designer Double Bed Sheets
48613,Get 63% discount on Set Of 3 Swastik Designer Suits
48614,"Best Sellers - Get Up To 40% OFF on Home Appliances, Luggage and More"
48615,Combo of Foldable Wardrobe & Shoe Rack just @ Rs.1969
48616,Monsoon Delights - Upto 70% discount on products listed at landing page
48617,Avail 25% Discount on Kids Apparel (On minimum order-value of Rs.1000)
48618,Flat 20% Off on Baby Care Items By Pigeon Brand
48619,Get 30% Off on 6+ Products
48620,Get Flat 50% Discount + Additional 5% Discount on Designer Lehenga
48621,50% discount + Extra 5% discount on Men's Suits
48622,Avail Flat 50% Discount + Additional 5% Discount on Designer Saree
48623,Avail 5% Off on All Products
48624,Get 50% off + Extra 5% off on Nehru Jackets
48625,Get Flat 10% Discount on 2+ Products
48626,Get Up To 50% OFF on Designer Jewellery For Women
48627,Avail 15% Off on 3+ Products
48628,20% discount on 4+ Products
48629,Get Flat 25% OFF on 5+ Products
48630,Up To 40% Off on Kids Clothing
48631,"3 Leggings Rs.1,249 only"
48632,Ready To Eat - Meals And Desserts Starting at Rs.79
48633,"Rice,Dals And Pulses, Dry Fruits And More Starts from just Rs.22"
